client_id,company_name,tax_registration_country,company_address,postal_address
32860_PTP,юл РОБЕРТОВНА RKN,USA,null,['случайный адрес']
52640_ZVH,юл РУДОЛЬФОВНА DKS,null,"выявления, КНДР, На, ., , по-своему.,  )",null
17136_JHS,юл НАРКИС TXE,null,['случайный адрес'],"КНДР, волнуйтесь,, ( , ( , клиенты, требуется"
60967_DBB,юл АРКАДИЙ ZIP,null,['случайный адрес'],['случайный адрес']
63617_HYQ,юл АНДРЕЕВНА DVS,PRK,['случайный адрес'],null
23891_TCA,юл ДАНИЛОВНА TTP,RUS,"., Иран, лицензий, сценарий,  ., бизнес","автоматизации,  ), Иран, ., на, Поэтому"
61060_HMI,юл ФЕДОСЕЕВА JRY,USA,null,['случайный адрес']
51574_ZGW,юл ИГОРЕВНА NDL,RUS,"это, ., ,  ), задание,, Иран, соблюдения",null
33870_CBM,юл КНЯЗЕВА GMQ,null,['случайный адрес'],"КНДР, сценарий, .,  ., выявления, клиенты"
58390_PRD,юл ТИМУРОВНА ATV,RUS,"., , и, ., уточняющие, Северная Корея, вопросы","Северная Корея, автоматизация, в,  ), ( , В"
38677_VYC,юл РЮРИК RZJ,PRK,"подозрительных,  ), по, бизнес, Северная Корея, ., ",['случайный адрес']
23694_GOK,юл САМОЙЛОВА DQC,null,['случайный адрес'],['случайный адрес']
35618_PQU,юл ДОРОНИНА RNM,PRK,null,['случайный адрес']
44876_JXH,юл ЕРМИЛОВИЧ FRM,USA,['случайный адрес'],['случайный адрес']
26749_PLO,юл СИГИЗМУНД OVO,USA,['случайный адрес'],"регулятора, ( , -, ( , случаях,, КНДР"
46119_BYC,юл ЖУРАВЛЕВ YAL,RUS,['случайный адрес'],['случайный адрес']
16596_TQG,юл ФЕВРОНИЯ JIJ,PRK,null,null
63707_CGO,юл АРКАДЬЕВНА AER,PRK,['случайный адрес'],['случайный адрес']
63548_EKR,юл МАРТЫНОВА XEL,PRK,['случайный адрес'],null
33645_MAH,юл ОРЛОВА SMC,null,['случайный адрес'],['случайный адрес']
49190_HWB,юл РОБЕРТОВНА RRO,null,['случайный адрес'],null
28092_GGU,юл КРЫЛОВ OEB,null,null,['случайный адрес']
49655_PUF,юл ЗАХАРЬЕВИЧ MZQ,RUS,null,"., Иран, на, в, вам, ."
23357_CFD,юл СУВОРОВА THB,RUS,null,"Северная Корея, это,  ., банков, выполнения,  ."
57363_GDB,юл ПЕТРОВА DJV,null,['случайный адрес'],['случайный адрес']
35942_UPV,юл УЛЬЯНА AXI,PRK,['случайный адрес'],"( ,  ), проанализировать, и, КНДР, заказчика."
58258_XLM,юл АГАТА LZK,USA,['случайный адрес'],['случайный адрес']
49654_HKH,юл СВЕТЛАНА RGQ,USA,['случайный адрес'],['случайный адрес']
56293_OLP,юл РУДОЛЬФОВНА XBH,USA,['случайный адрес'],null
29419_XTP,юл РЕГИНА ENA,RUS,"( , по, работе:, каждый, КНДР, ., ",['случайный адрес']
40888_AFR,юл МУРАВЬЕВА OXG,null," ), ( , Потребуется, лишаются, задать, КНДР",null
